Inten,Ayat Alkitab
Perasaan Sedih dan Kehilangan,"Mazmur 55 : 22 (TB) ""Serahkanlah kuatirmu kepada TUHAN, maka Ia akan memelihara engkau! Tidak untuk selama-lamanya dibiarkan-Nya orang benar itu goyah."""
Perasaan Sedih dan Kehilangan,"1 Petrus 5 : 7 (TB) ""Serahkanlah segala kekuatiranmu kepada-Nya, sebab Ia memelihara kamu."""
Perasaan Sedih dan Kehilangan,"Matius 11 : 28-29 (TB) ""Marilah kepada-Ku, semua yang letih lesu dan berbeban berat, Aku akan memberi kelegaan kepadamu. Pikullah kuk yang Kupasang dan belajarlah pada-Ku, karena Aku lemah lebut dan rendah hati dan jiwamu akan mendapat ketenangan."" "
Perasaan Sedih dan Kehilangan,"Yesaya 41 : 10 (TB) ""Janganlah takut, sebab Aku menyertai engkau, janganlah bimbang, sebab Aku ini Allahmu; Aku akan meneguhkan, bahkan akan menolong engkau; Aku akan memegang engkau dengan tangan kanan-Ku yang membawa kemenangan."""
Perasaan Sedih dan Kehilangan,"Filipi 4 : 6-7 (TB) ""Janganlah hendaknya kamu kuatir tentang apapun juga, tetapi nyatakanlah dalam segala hal keinginanmu kepada Allah dalam doa dan permohonan dengan ucapan syukur."""
Perasaan Sedih dan Kehilangan,"Mazmur 62 : 9 (TB) ""Percayalah kepada-Nya; Allah ialah tempat perlindungan kita."""
Perasaan Sedih dan Kehilangan,"Mazmur 147 : 3 (TB) ""Ia menyembuhkan orang-orang yang patah hati dan membalut luka-luka mereka."" "
Perasaan Sedih dan Kehilangan,"Amsal 17 : 22 (TB) ""Hati yang gembira adalah obat yang manjur, tetapi semangat yang patah mengeringkan tulang."""
Perasaan Sedih dan Kehilangan,"Filipi 4 : 6-7 (TB) ""Janganlah hendaknya kamu kuatir tentang apapun juga, tetapi nyatakanlah dalam segala hal keinginanmu kepada Allah dalam doa dan permohonan dengan ucapan syukur."""
Perasaan Sedih dan Kehilangan,"Yesaya 26 : 3 (TB) ""Yang hatinya teguh Kaujagai dengan damai sejahtera, sebab kepada-Mulah ia percaya"""
Perasaan Sedih dan Kehilangan,"Mazmur 34 : 19 (TB) ""TUHAN itu dekat kepada orang-orang yang patah hati, dan Ia menyelamatkan orang-orang yang remuk jiwanya."""
Perasaan Sedih dan Kehilangan,"Yesaya 43 : 4a (TB) ""Oleh karena engkau berharga di mata-Ku dan mulia, dan Aku ini mengasihi engkau…"""
Perasaan Sedih dan Kehilangan,"Amsal 15 : 1 (TB) ""Jawaban yang lemah lembut meredakan kegeraman, tetapi perkataan yang pedas membangkitkan marah."""
